"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","585","createUser()","","Mon Aug 18 10:13:24 MSK 2025","passed","Mon Aug 18 10:13:25 MSK 2025","","ApiTests","ApiTests","createUser"
"","494","createFailUser()","","Mon Aug 18 10:13:27 MSK 2025","passed","Mon Aug 18 10:13:27 MSK 2025","","ApiTests","ApiTests","createFailUser"
"","16523","take5OrdersByUser()","","Mon Aug 18 10:13:07 MSK 2025","passed","Mon Aug 18 10:13:24 MSK 2025","","ApiTests","ApiTests","take5OrdersByUser"
"","1262","editNameUser()","","Mon Aug 18 10:13:04 MSK 2025","passed","Mon Aug 18 10:13:05 MSK 2025","","ApiTests","ApiTests","editNameUser"
"","868","authFailUser()","","Mon Aug 18 10:13:07 MSK 2025","passed","Mon Aug 18 10:13:07 MSK 2025","","ApiTests","ApiTests","authFailUser"
"","1236","editPasswordUser()","","Mon Aug 18 10:13:03 MSK 2025","passed","Mon Aug 18 10:13:04 MSK 2025","","ApiTests","ApiTests","editPasswordUser"
"","3969","createOrder()","","Mon Aug 18 10:12:59 MSK 2025","passed","Mon Aug 18 10:13:03 MSK 2025","","ApiTests","ApiTests","createOrder"
"","1229","editFailEmailUser()","","Mon Aug 18 10:13:25 MSK 2025","passed","Mon Aug 18 10:13:27 MSK 2025","","ApiTests","ApiTests","editFailEmailUser"
"","1265","editFailPasswordUser()","","Mon Aug 18 10:13:05 MSK 2025","failed","Mon Aug 18 10:13:07 MSK 2025","","ApiTests","ApiTests","editFailPasswordUser"
"","3582","createFailOrder()","","Mon Aug 18 10:12:54 MSK 2025","passed","Mon Aug 18 10:12:57 MSK 2025","","ApiTests","ApiTests","createFailOrder"
"","1287","editEmailUser()","","Mon Aug 18 10:12:58 MSK 2025","passed","Mon Aug 18 10:12:59 MSK 2025","","ApiTests","ApiTests","editEmailUser"
"","896","authUser()","","Mon Aug 18 10:13:25 MSK 2025","passed","Mon Aug 18 10:13:25 MSK 2025","","ApiTests","ApiTests","authUser"
